Lamp Post Number,District,Location,Latitude,Longitude
40343,Central & Western,2 & 3 GARDEN TERRACE,22.27559853,114.15459053
40344,Central & Western,2 & 3 GARDEN TERRACE,22.27582489,114.15463653
40349,Central & Western,2 & 3 GARDEN TERRACE,22.27579762,114.15482783
21542,Central & Western,ABERDEEN STREET,22.28227597,114.15126543
21543,Central & Western,ABERDEEN STREET,22.28247474,114.1514032
21544,Central & Western,ABERDEEN STREET,22.28284648,114.15178751
21546,Central & Western,ABERDEEN STREET,22.28302363,114.15195051
21547,Central & Western,ABERDEEN STREET,22.28320581,114.15213351
21549,Central & Western,ABERDEEN STREET,22.28349873,114.15252419
21550,Central & Western,ABERDEEN STREET,22.28370221,114.15273107
21551,Central & Western,ABERDEEN STREET,22.28392702,114.15287611
21553,Central & Western,ABERDEEN STREET,22.28426133,114.15330681
31125,Central & Western,ABERDEEN STREET,22.28269238,114.15161995
41708,Central & Western,ABERDEEN STREET,22.28405873,114.15309772
50501,Central & Western,ABERDEEN STREET,22.28344749,114.15237785
51379,Central & Western,ABERDEEN STREET,22.2844951,114.15353756
38216,Central & Western,ACADEMIC TERRACE,22.28185404,114.13244278
38218,Central & Western,ACADEMIC TERRACE,22.28161477,114.13228315
40346,Central & Western,ALBANY NO. 2 FRESH WATER PUMPING STATION,22.27549546,114.15480627
14638,Central & Western,ALBANY ROAD,22.27731944,114.15494767
14639,Central & Western,ALBANY ROAD,22.27753272,114.1552025
16443,Central & Western,ALBANY ROAD,22.27733497,114.15476783
22330,Central & Western,ALBANY ROAD,22.27767008,114.15539505
22331,Central & Western,ALBANY ROAD,22.27784065,114.15568599
22332,Central & Western,ALBANY ROAD,22.27812664,114.1557315
22333,Central & Western,ALBANY ROAD,22.27844754,114.15596539
22334,Central & Western,ALBANY ROAD,22.27874673,114.15608981
22335,Central & Western,ALBANY ROAD,22.27897872,114.15608399
22336,Central & Western,ALBANY ROAD,22.27909828,114.15582395
22337,Central & Western,ALBANY ROAD,22.27911368,114.15554918
22338,Central & Western,ALBANY ROAD,22.27899045,114.15541098
22339,Central & Western,ALBANY ROAD,22.27901968,114.15516108
44085,Central & Western,ALBANY ROAD,22.27923182,114.15515967
21218,Central & Western,ALBERT PATH,22.27941898,114.15638526
21219,Central & Western,ALBERT PATH,22.27935924,114.15638074
21220,Central & Western,ALBERT PATH,22.27924152,114.15645447
21221,Central & Western,ALBERT PATH,22.27942125,114.15621847
21222,Central & Western,ALBERT PATH,22.2792989,114.15623136
21223,Central & Western,ALBERT PATH,22.27916805,114.15633263
21224,Central & Western,ALBERT PATH,22.2789948,114.15640565
17585,Central & Western,ARBUTHNOT ROAD,22.28134569,114.15474182
17586,Central & Western,ARBUTHNOT ROAD,22.28113385,114.1546746
17587,Central & Western,ARBUTHNOT ROAD,22.28077798,114.15455152
17590,Central & Western,ARBUTHNOT ROAD,22.28002857,114.15458105
17592,Central & Western,ARBUTHNOT ROAD,22.27940244,114.1547098
17593,Central & Western,ARBUTHNOT ROAD,22.27920383,114.15454469
21762,Central & Western,ARBUTHNOT ROAD,22.28158692,114.15470506
35527,Central & Western,ARBUTHNOT ROAD,22.28039009,114.1543738
36103,Central & Western,ARBUTHNOT ROAD,22.2797831,114.154561
17871,Central & Western,ARGENTA,22.28297169,114.14891759
44093,Central & Western,ARION COMMERCIAL CENTRE,22.28612513,114.14818837
47062,Central & Western,ARION COMMERCIAL CENTRE,22.2860832,114.14824087
47063,Central & Western,ARION COMMERCIAL CENTRE,22.2860423,114.14829167
41209,Central & Western,BABINGTON PATH,22.284131,114.14202279
41210,Central & Western,BABINGTON PATH,22.28400494,114.14173743
41211,Central & Western,BABINGTON PATH,22.28389011,114.14142021
42755,Central & Western,BABINGTON PATH,22.2835644,114.14125844
42756,Central & Western,BABINGTON PATH,22.28329633,114.14103656
42757,Central & Western,BABINGTON PATH,22.28309969,114.14095145
42758,Central & Western,BABINGTON PATH,22.28291287,114.14108049
42759,Central & Western,BABINGTON PATH,22.28247221,114.14084547
42772,Central & Western,BABINGTON PATH,22.28265392,114.14107249
42773,Central & Western,BABINGTON PATH,22.28239028,114.14086907
42774,Central & Western,BABINGTON PATH,22.28230725,114.14111582
42775,Central & Western,BABINGTON PATH,22.28232732,114.14141932
42776,Central & Western,BABINGTON PATH,22.28234436,114.14167834
