Date time,Automatic Weather Station,Relative Humidity(percent)
202609220630,Chek Lap Kok,75
202609220630,Cheung Chau,89
202609220630,Clear Water Bay,91
202609220630,HK Observatory,83
202609220630,HK Park,84
202609220630,Kai Tak Runway Park,77
202609220630,Kau Sai Chau,95
202609220630,King's Park,81
202609220630,Kowloon City,81
202609220630,Lau Fau Shan,93
202609220630,Pak Tam Chung,99
202609220630,Peng Chau,84
202609220630,Sai Kung,88
202609220630,Sha Tin,91
202609220630,Shau Kei Wan,90
202609220630,Shek Kong,92
202609220630,Sheung Shui,88
202609220630,Ta Kwu Ling,97
202609220630,Tai Lung,98
202609220630,Tai Po,91
202609220630,Tseung Kwan O,96
202609220630,Tsing Yi,83
202609220630,Tuen Mun,83
202609220630,Waglan Island,91
202609220630,Wetland Park,95
202609220630,Wong Chuk Hang,88
