日期時間,自動氣象站,氣溫（攝氏）
202607241030,赤鱲角,31.1
202607241030,長洲,29.5
202607241030,清水灣,31.8
202607241030,跑馬地,N/A
202607241030,天文台,31.1
202607241030,香港公園,31.3
202607241030,啟德跑道公園,33.1
202607241030,滘西洲,31.5
202607241030,京士柏,31.2
202607241030,九龍城,32.2
202607241030,觀塘,32.5
202607241030,流浮山,31.9
202607241030,昂坪,28.9
202607241030,北潭涌,33.3
202607241030,坪洲,32.6
202607241030,西貢,33.2
202607241030,沙田,32.2
202607241030,深水埗,32.6
202607241030,筲箕灣,32.2
202607241030,石崗,N/A
202607241030,上水,32.3
202607241030,赤柱,31.6
202607241030,打鼓嶺,32.7
202607241030,大隴,32.9
202607241030,大美督,31.8
202607241030,大帽山,23.8
202607241030,大埔,32.9
202607241030,大老山,29.1
202607241030,山頂,N/A
202607241030,將軍澳,31.7
202607241030,青衣,31.8
202607241030,荃灣可觀,29.4
202607241030,荃灣城門谷,32.6
202607241030,屯門,31.8
202607241030,橫瀾島,31.8
202607241030,濕地公園,30.9
202607241030,黃竹坑,31.2
202607241030,黃大仙,32.8
202607241030,元朗公園,33.2
