日期時間,自動氣象站,午夜至現時的最高氣溫（攝氏）,午夜至現時的最低氣溫（攝氏）
202607241030,赤鱲角,31.6,27.5
202607241030,長洲,29.8,26.3
202607241030,清水灣,32.4,26.0
202607241030,跑馬地,32.6,27.2*
202607241030,天文台,31.1,28.1
202607241030,香港公園,31.3,27.0
202607241030,啟德跑道公園,33.4,28.0
202607241030,滘西洲,31.7,25.3
202607241030,京士柏,31.2,27.7
202607241030,九龍城,32.2,27.2
202607241030,觀塘,32.6,27.3
202607241030,流浮山,31.9,27.4
202607241030,昂坪,29.1,22.6
202607241030,北潭涌,33.4,23.8
202607241030,坪洲,32.8,26.2
202607241030,西貢,33.3,26.6
202607241030,沙田,32.5,25.6
202607241030,深水埗,32.6,27.3
202607241030,筲箕灣,32.8,27.5
202607241030,石崗,N/A /
202607241030,上水,32.5,25.8
202607241030,赤柱,32.1,26.4
202607241030,打鼓嶺,32.7,24.6
202607241030,大隴,32.9,24.3
202607241030,大美督,32.0,26.6
202607241030,大帽山,23.8,19.8
202607241030,大埔,33.0,26.2
202607241030,大老山,29.4,23.0
202607241030,山頂,N/A /
202607241030,將軍澳,31.8,25.3
202607241030,青衣,32.3,26.1
202607241030,荃灣可觀,29.4,25.0
202607241030,荃灣城門谷,32.6,26.3
202607241030,屯門,31.9,26.5
202607241030,橫瀾島,32.1,26.9
202607241030,濕地公園,30.9,26.0
202607241030,黃竹坑,31.3,26.3
202607241030,黃大仙,32.8,27.0
202607241030,元朗公園,33.4,26.1
