日期時間,自動氣象站,氣溫（攝氏）
202609051520,赤鱲角,31.8
202609051520,長洲,28.6
202609051520,清水灣,29.3
202609051520,跑馬地,32.0
202609051520,天文台,31.4
202609051520,香港公園,30.3
202609051520,啟德跑道公園,29.1
202609051520,滘西洲,29.5
202609051520,京士柏,31.3
202609051520,九龍城,31.8
202609051520,觀塘,31.2
202609051520,流浮山,30.4
202609051520,昂坪,26.3
202609051520,北潭涌,30.9
202609051520,坪洲,31.0
202609051520,西貢,30.1
202609051520,沙田,32.1
202609051520,深水埗,31.9
202609051520,筲箕灣,29.0
202609051520,石崗,32.2
202609051520,上水,31.9
202609051520,赤柱,31.6
202609051520,打鼓嶺,32.7
202609051520,大隴,31.1
202609051520,大美督,30.7
202609051520,大帽山,24.6
202609051520,大埔,31.9
202609051520,大老山,25.6
202609051520,山頂,28.3
202609051520,將軍澳,31.8
202609051520,青衣,30.4
202609051520,荃灣可觀,30.5
202609051520,荃灣城門谷,31.4
202609051520,屯門,31.3
202609051520,橫瀾島,28.5
202609051520,濕地公園,30.9
202609051520,黃竹坑,30.5
202609051520,黃大仙,31.1
202609051520,元朗公園,32.1
