Direction,Service Date,Service Hour,Remark
Central to Discovery Bay,Mondays to Fridays except public holidays,12:00:00 a.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,12:30:00 a.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,6:30:00 a.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,7:00:00 a.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,7:20:00 a.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,7:40:00 a.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,8:00:00 a.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,8:20:00 a.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,8:40:00 a.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,9:10:00 a.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,9:40:00 a.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,10:10:00 a.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,10:40:00 a.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,11:10:00 a.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,11:40:00 a.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,12:10:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,12:40:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,1:10:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,1:40:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,2:10:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,2:40:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,3:10:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,3:30:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,3:50:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,4:10:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,4:40:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,5:10:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,5:40:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,6:10:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,6:30:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,6:50:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,7:10:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,7:30:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,8:00:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,8:30:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,9:00:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,9:30:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,10:00:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,10:30:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,11:00:00 p.m.,
Central to Discovery Bay,Mondays to Fridays except public holidays,11:30:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,12:00:00 a.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,6:00:00 a.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,6:30:00 a.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,6:45:00 a.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,7:00:00 a.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,7:15:00 a.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,7:30:00 a.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,7:45:00 a.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,8:00:00 a.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,8:15:00 a.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,8:30:00 a.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,8:50:00 a.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,9:10:00 a.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,9:40:00 a.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,10:10:00 a.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,10:40:00 a.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,11:10:00 a.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,11:40:00 a.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,12:10:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,12:40:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,1:10:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,1:40:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,2:10:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,2:40:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,3:10:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,3:40:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,4:10:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,4:40:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,5:10:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,5:40:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,6:00:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,6:20:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,6:40:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,7:00:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,7:30:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,8:00:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,8:30:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,9:00:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,9:30:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,10:00:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,10:30:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,11:00:00 p.m.,
Discovery Bay to Central,Mondays to Fridays except public holidays,11:30:00 p.m.,
Central to Discovery Bay,Saturdays except Public Holidays,12:00:00 a.m.,
Central to Discovery Bay,Saturdays except Public Holidays,12:30:00 a.m.,
Central to Discovery Bay,Saturdays except Public Holidays,1:00:00 a.m.,
Central to Discovery Bay,Saturdays except Public Holidays,6:30:00 a.m.,
Central to Discovery Bay,Saturdays except Public Holidays,7:00:00 a.m.,
Central to Discovery Bay,Saturdays except Public Holidays,7:30:00 a.m.,
Central to Discovery Bay,Saturdays except Public Holidays,8:00:00 a.m.,
Central to Discovery Bay,Saturdays except Public Holidays,8:30:00 a.m.,
Central to Discovery Bay,Saturdays except Public Holidays,8:50:00 a.m.,
Central to Discovery Bay,Saturdays except Public Holidays,9:10:00 a.m.,
Central to Discovery Bay,Saturdays except Public Holidays,9:30:00 a.m.,
Central to Discovery Bay,Saturdays except Public Holidays,10:00:00 a.m.,
Central to Discovery Bay,Saturdays except Public Holidays,10:30:00 a.m.,
Central to Discovery Bay,Saturdays except Public Holidays,11:00:00 a.m.,
Central to Discovery Bay,Saturdays except Public Holidays,11:30:00 a.m.,
Central to Discovery Bay,Saturdays except Public Holidays,12:00:00 p.m.,
Central to Discovery Bay,Saturdays except Public Holidays,12:30:00 p.m.,
Central to Discovery Bay,Saturdays except Public Holidays,1:00:00 p.m.,
Central to Discovery Bay,Saturdays except Public Holidays,1:30:00 p.m.,
Central to Discovery Bay,Saturdays except Public Holidays,2:00:00 p.m.,
Central to Discovery Bay,Saturdays except Public Holidays,2:30:00 p.m.,
Central to Discovery Bay,Saturdays except Public Holidays,3:00:00 p.m.,
Central to Discovery Bay,Saturdays except Public Holidays,3:30:00 p.m.,
Central to Discovery Bay,Saturdays except Public Holidays,4:00:00 p.m.,
Central to Discovery Bay,Saturdays except Public Holidays,4:30:00 p.m.,
Central to Discovery Bay,Saturdays except Public Holidays,5:00:00 p.m.,
Central to Discovery Bay,Saturdays except Public Holidays,5:30:00 p.m.,
Central to Discovery Bay,Saturdays except Public Holidays,6:00:00 p.m.,
Central to Discovery Bay,Saturdays except Public Holidays,6:30:00 p.m.,
Central to Discovery Bay,Saturdays except Public Holidays,7:00:00 p.m.,
Central to Discovery Bay,Saturdays except Public Holidays,7:30:00 p.m.,
Central to Discovery Bay,Saturdays except Public Holidays,8:00:00 p.m.,
