Direction,Service Date,Service Hour,Remark
Ma Wan to Tsuen Wan,Mondays to Fridays except public holidays,8:10 a.m.,
Ma Wan to Tsuen Wan,Mondays to Fridays except public holidays,9:10 a.m.,
Ma Wan to Tsuen Wan,Mondays to Fridays except public holidays,4:10 p.m.,
Tsuen Wan to Ma Wan,Mondays to Fridays except public holidays,8:30 a.m.,
Tsuen Wan to Ma Wan,Mondays to Fridays except public holidays,9:30 a.m.,
Tsuen Wan to Ma Wan,Mondays to Fridays except public holidays,4:30 p.m.,
Ma Wan to Tsuen Wan,"Saturdays, Sundays and public holidays",10:10 a.m.,
Ma Wan to Tsuen Wan,"Saturdays, Sundays and public holidays",1:10 p.m.,
Ma Wan to Tsuen Wan,"Saturdays, Sundays and public holidays",4:10 p.m.,
Tsuen Wan to Ma Wan,"Saturdays, Sundays and public holidays",10:30 a.m.,
Tsuen Wan to Ma Wan,"Saturdays, Sundays and public holidays",1:30 p.m.,
Tsuen Wan to Ma Wan,"Saturdays, Sundays and public holidays",4:30 p.m.,
