Direction,Service Date,Service Hour,Remark
Ma Wan to Central,Mondays to Fridays except public holidays,6:30 a.m.,
Ma Wan to Central,Mondays to Fridays except public holidays,7:00 a.m.,
Ma Wan to Central,Mondays to Fridays except public holidays,7:20 a.m.,
Ma Wan to Central,Mondays to Fridays except public holidays,8:00 a.m.,
Ma Wan to Central,Mondays to Fridays except public holidays,8:20 a.m.,
Ma Wan to Central,Mondays to Fridays except public holidays,9:00 a.m.,
Ma Wan to Central,Mondays to Fridays except public holidays,9:30 a.m.,
Ma Wan to Central,Mondays to Fridays except public holidays,10:00 a.m.,
Ma Wan to Central,Mondays to Fridays except public holidays,12:00 p.m.,
Ma Wan to Central,Mondays to Fridays except public holidays,2:00 p.m.,
Ma Wan to Central,Mondays to Fridays except public holidays,4:00 p.m.,
Ma Wan to Central,Mondays to Fridays except public holidays,5:00 p.m,
Ma Wan to Central,Mondays to Fridays except public holidays,5:30 p.m.,
Ma Wan to Central,Mondays to Fridays except public holidays,6:00 p.m.,
Ma Wan to Central,Mondays to Fridays except public holidays,6:30 p.m.,
Ma Wan to Central,Mondays to Fridays except public holidays,7:00 p.m..,
Ma Wan to Central,Mondays to Fridays except public holidays,7:30 p.m.,
Ma Wan to Central,Mondays to Fridays except public holidays,8:00 p.m.,
Ma Wan to Central,Mondays to Fridays except public holidays,9:00 p.m.,
Central to Ma Wan,Mondays to Fridays except public holidays,7:00 a.m.,
Central to Ma Wan,Mondays to Fridays except public holidays,7:30 a.m.,
Central to Ma Wan,Mondays to Fridays except public holidays,7:50 a.m.,
Central to Ma Wan,Mondays to Fridays except public holidays,8:30 a.m.,
Central to Ma Wan,Mondays to Fridays except public holidays,8:50 a.m.,
Central to Ma Wan,Mondays to Fridays except public holidays,9:30 a.m.,
Central to Ma Wan,Mondays to Fridays except public holidays,10:00 a.m.,
Central to Ma Wan,Mondays to Fridays except public holidays,10:30 a.m.,
Central to Ma Wan,Mondays to Fridays except public holidays,12:30 p.m.,
Central to Ma Wan,Mondays to Fridays except public holidays,2:30 p.m.,
Central to Ma Wan,Mondays to Fridays except public holidays,4:30 p.m.,
Central to Ma Wan,Mondays to Fridays except public holidays,5:30 p.m.,
Central to Ma Wan,Mondays to Fridays except public holidays,6:00 p.m.,
Central to Ma Wan,Mondays to Fridays except public holidays,6:30 p.m.,
Central to Ma Wan,Mondays to Fridays except public holidays,7:00 p.m.,
Central to Ma Wan,Mondays to Fridays except public holidays,7:30 p.m.,
Central to Ma Wan,Mondays to Fridays except public holidays,8:00 p.m.,
Central to Ma Wan,Mondays to Fridays except public holidays,8:30 p.m.,
Central to Ma Wan,Mondays to Fridays except public holidays,9:30 p.m.,
Ma Wan to Central,"Saturdays, Sundays and public holidays",8:00 a.m.,
Ma Wan to Central,"Saturdays, Sundays and public holidays",10:00 a.m.,
Ma Wan to Central,"Saturdays, Sundays and public holidays",12:00 p.m.,
Ma Wan to Central,"Saturdays, Sundays and public holidays",2:00 p.m.,
Ma Wan to Central,"Saturdays, Sundays and public holidays",4:00 p.m.,
Ma Wan to Central,"Saturdays, Sundays and public holidays",6:00 p.m.,
Ma Wan to Central,"Saturdays, Sundays and public holidays",8:00 p.m.,
Central to Ma Wan,"Saturdays, Sundays and public holidays",8:30 a.m.,
Central to Ma Wan,"Saturdays, Sundays and public holidays",10:30 a.m.,
Central to Ma Wan,"Saturdays, Sundays and public holidays",12:30 p.m.,
Central to Ma Wan,"Saturdays, Sundays and public holidays",2:30 p.m.,
Central to Ma Wan,"Saturdays, Sundays and public holidays",4:30 p.m.,
Central to Ma Wan,"Saturdays, Sundays and public holidays",6:30 p.m.,
Central to Ma Wan,"Saturdays, Sundays and public holidays",8:30 p.m.,
