Direction,Service Date,Service Hour,Remark
Central to Cheung Chau,Mondays to Saturdays except public holidays,12:30 a.m.,
Central to Cheung Chau,Mondays to Saturdays except public holidays,1:30 a.m.,
Central to Cheung Chau,Mondays to Saturdays except public holidays,4:15 a.m.,
Central to Cheung Chau,Mondays to Saturdays except public holidays,6:10 a.m.,1
Central to Cheung Chau,Mondays to Saturdays except public holidays,7:00 a.m.,
Central to Cheung Chau,Mondays to Saturdays except public holidays,7:40 a.m.,1
Central to Cheung Chau,Mondays to Saturdays except public holidays,8:00 a.m.,
Central to Cheung Chau,Mondays to Saturdays except public holidays,8:40 a.m.,
Central to Cheung Chau,Mondays to Saturdays except public holidays,9:00 a.m.,1
Central to Cheung Chau,Mondays to Saturdays except public holidays,9:45 a.m.,
Central to Cheung Chau,Mondays to Saturdays except public holidays,10:15 a.m.,1
Central to Cheung Chau,Mondays to Saturdays except public holidays,10:45 a.m.,
Central to Cheung Chau,Mondays to Saturdays except public holidays,11:15 a.m.,1
Central to Cheung Chau,Mondays to Saturdays except public holidays,11:45 a.m.,
Central to Cheung Chau,Mondays to Saturdays except public holidays,12:15 p.m.,1
Central to Cheung Chau,Mondays to Saturdays except public holidays,12:45 p.m.,
Central to Cheung Chau,Mondays to Saturdays except public holidays,1:15 p.m.,1
Central to Cheung Chau,Mondays to Saturdays except public holidays,1:45 p.m.,
Central to Cheung Chau,Mondays to Saturdays except public holidays,2:15 p.m.,1
Central to Cheung Chau,Mondays to Saturdays except public holidays,2:45 p.m.,
Central to Cheung Chau,Mondays to Saturdays except public holidays,3:15 p.m.,1
Central to Cheung Chau,Mondays to Saturdays except public holidays,3:45 p.m.,
Central to Cheung Chau,Mondays to Saturdays except public holidays,4:15 p.m.,1
Central to Cheung Chau,Mondays to Saturdays except public holidays,4:45 p.m.,
Central to Cheung Chau,Mondays to Saturdays except public holidays,5:20 p.m.,1
Central to Cheung Chau,Mondays to Saturdays except public holidays,5:40 p.m.,
Central to Cheung Chau,Mondays to Saturdays except public holidays,6:00 p.m.,1
Central to Cheung Chau,Mondays to Saturdays except public holidays,6:20 p.m.,
Central to Cheung Chau,Mondays to Fridays except public holidays,6:30 p.m.,2
Central to Cheung Chau,Mondays to Saturdays except public holidays,6:45 p.m.,1
Central to Cheung Chau,Mondays to Saturdays except public holidays,7:00 p.m.,
