Direction,Service Date,Service Hour,Remark
Central to Mui Wo,Mondays to Fridays except public holidays,12:30 a.m.,
Central to Mui Wo,Mondays to Fridays except public holidays,3:00 a.m.,
Central to Mui Wo,Mondays to Fridays except public holidays,6:10 a.m.,1
Central to Mui Wo,Mondays to Fridays except public holidays,6:50 a.m.,1
Central to Mui Wo,Mondays to Fridays except public holidays,7:10 a.m.,
Central to Mui Wo,Mondays to Fridays except public holidays,7:40 a.m.,
Central to Mui Wo,Mondays to Fridays except public holidays,8:30 a.m.,1
Central to Mui Wo,Mondays to Fridays except public holidays,9:00 a.m.,
Central to Mui Wo,Mondays to Fridays except public holidays,9:50 a.m.,
Central to Mui Wo,Mondays to Fridays except public holidays,10:30 a.m.,1
Central to Mui Wo,Mondays to Fridays except public holidays,11:10 a.m.,
Central to Mui Wo,Mondays to Fridays except public holidays,11:50 a.m.,
Central to Mui Wo,Mondays to Fridays except public holidays,12:30 p.m.,1
Central to Mui Wo,Mondays to Fridays except public holidays,1:10 p.m.,
Central to Mui Wo,Mondays to Fridays except public holidays,1:50 p.m.,
Central to Mui Wo,Mondays to Fridays except public holidays,2:30 p.m.,1
Central to Mui Wo,Mondays to Fridays except public holidays,3:10 p.m.,
Central to Mui Wo,Mondays to Fridays except public holidays,3:50 p.m.,
Central to Mui Wo,Mondays to Fridays except public holidays,4:30 p.m.,1
Central to Mui Wo,Mondays to Fridays except public holidays,5:20 p.m.,
Central to Mui Wo,Mondays to Fridays except public holidays,5:40 p.m.,1
Central to Mui Wo,Mondays to Fridays except public holidays,6:00 p.m.,
Central to Mui Wo,Mondays to Fridays except public holidays,6:30 p.m.,1
Central to Mui Wo,Mondays to Fridays except public holidays,7:00 p.m.,
Central to Mui Wo,Mondays to Fridays except public holidays,7:30 p.m.,
Central to Mui Wo,Mondays to Fridays except public holidays,8:00 p.m.,1
Central to Mui Wo,Mondays to Fridays except public holidays,8:35 p.m.,
Central to Mui Wo,Mondays to Fridays except public holidays,9:20 p.m.,
Central to Mui Wo,Mondays to Fridays except public holidays,10:00 p.m.,
Central to Mui Wo,Mondays to Fridays except public holidays,10:45 p.m.,
Central to Mui Wo,Mondays to Fridays except public holidays,11:30 p.m.,
Mui Wo to Central,Mondays to Fridays except public holidays,3:40 a.m.,
