Direction,Service Date,Service Hour,Remark
Chueung Chau to Mui Wo,Daily,6:00 a.m.,
Mui Wo  to Peng Chau,Daily,6:30 a.m.,1
Peng Chau to Mui Wo,Daily,5:40 a.m.,
Mui Wo to Chi Ma Wan,Daily,6:00 a.m.,
Chi Ma Wan to Cheung Chau,Daily,6:15 a.m.,
Cheung Chau to Chi Ma Wan,Daily,6:35 a.m.,
Chi Ma Wan to Mui Wo,Daily,6:52 a.m.,
Mui Wo to Peng Chau,Daily,7:10 a.m.,
Peng Chau to Mui Wo,Daily,7:30 a.m.,
Mui Wo to Chi Ma Wan,Daily,8:00 a.m.,
Chi Ma Wan to Cheung Chau,Daily,8:20 a.m.,
Cheung Chau to Chi Ma Wan,Daily,8:45 a.m.,
Chi Ma Wan to Mui Wo,Daily,9:05 a.m.,
Mui Wo to Peng Chau,Daily,9:25 a.m.,
Peng Chau to Mui Wo,Daily,9:45 a.m.,
Mui Wo to Chi Ma Wan,Daily,10:10 a.m.,
Chi Ma Wan to Cheung Chau,Daily,10:30 a.m.,
Cheung Chau to Chi Ma Wan,Daily,10:50 a.m.,
Chi Ma Wan to Mui Wo,Daily,11:10 a.m.,
Mui Wo to Peng Chau,Daily,11:35 a.m.,
Peng Chau to Mui Wo,Daily,11:55 a.m.,
Mui Wo to Cheung Chau,Daily,12:15 p.m.,
Cheung Chau to Mui Wo,Daily,12:45 p.m.,
Mui Wo to Peng Chau,Daily,1:15 p.m.,
Peng Chau to Mui Wo,Daily,1:35 p.m.,
Mui Wo to Chi Ma Wan,Daily,2:00 p.m.,
Chi Ma Wan to Cheung Chau,Daily,2:15 p.m.,
Cheung Chau to Chi Ma Wan,Daily,2:45 p.m.,
Chi Ma Wan to Mui Wo,Daily,3:00 p.m.,
Mui Wo to Peng Chau,Daily,3:20 p.m.,
Peng Chau to Mui Wo,Daily,3:40 p.m.,
Mui Wo  to Chi Ma Wan,Daily,4:00 p.m.,
Chi Ma Wan to Cheung Chau,Daily,4:15 p.m.,
Cheung Chau to Chi Ma Wan,Daily,4:50 p.m.,
Chi Ma Wan to Mui Wo,Daily,5:05 p.m.,
Mui Wo to Cheung Chau,Daily,5:20 p.m.,3
Mui Wo to Peng Chau,Daily,5:30 p.m.,
Peng Chau to Mui Wo,Daily,5:55 p.m.,
Mui Wo  to Cheung Chau,Daily,6:15 p.m.,
Cheung Chau to Chi Ma Wan,Daily,6:45 p.m.,
Chi Ma Wan to Mui Wo,Daily,7:05 p.m.,
Mui Wo to Peng Chau,Daily,7:30 p.m.,
Peng Chau to Mui Wo,Daily,7:50 p.m.,
Mui Wo to Chi Ma Wan,Daily,8:10 p.m.,
Chi Ma Wan to Cheung Chau,Daily,8:30 p.m.,
Cheung Chau to Mui Wo,Daily,9:00 p.m.,
Mui Wo to Peng Chau,Daily,9:30 p.m.,
Peng Chau to Mui Wo,Daily,9:50 p.m.,
Mui Wo to Cheung Chau,Daily,10:20 p.m.,
Cheung Chau to Chi Ma Wan,Daily,10:50 p.m.,
Chi Ma Wan to Mui Wo,Daily,11:05 p.m.,
Mui Wo to Peng Chau,Daily,11:25 p.m.,
Peng Chau to Mui Wo,Daily,11:45 p.m.,2
