Direction,Service Date,Service Hour,Remark
North Point to Hung Hom,Daily,7:23 a.m.,
North Point to Hung Hom,Daily,7:53 a.m.,
North Point to Hung Hom,Daily,8:23 a.m.,
North Point to Hung Hom,Daily,8:53 a.m.,
North Point to Hung Hom,Daily,9:23 a.m.,
North Point to Hung Hom,Daily,9:53 a.m.,
North Point to Hung Hom,Daily,10:23 a.m.,
North Point to Hung Hom,Daily,10:53 a.m.,
North Point to Hung Hom,Daily,11:23 a.m.,
North Point to Hung Hom,Daily,11:53 a.m.,
North Point to Hung Hom,Daily,12:23 p.m.,
North Point to Hung Hom,Daily,12:53 p.m.,
North Point to Hung Hom,Daily,1:23 p.m.,
North Point to Hung Hom,Daily,1:53 p.m.,
North Point to Hung Hom,Daily,2:23 p.m.,
North Point to Hung Hom,Daily,2:53 p.m.,
North Point to Hung Hom,Daily,3:23 p.m.,
North Point to Hung Hom,Daily,3:53 p.m.,
North Point to Hung Hom,Daily,4:23 p.m.,
North Point to Hung Hom,Daily,4:53 p.m.,
North Point to Hung Hom,Daily,5:23 p.m.,
North Point to Hung Hom,Daily,5:53 p.m.,
North Point to Hung Hom,Daily,6:23 p.m.,
North Point to Hung Hom,Daily,6:53 p.m.,
North Point to Hung Hom,Daily,7:23 p.m.,
Hung Hom to North Point,Daily,7:05 a.m.,
Hung Hom to North Point,Daily,7:35 a.m.,
Hung Hom to North Point,Daily,8:05 a.m.,
Hung Hom to North Point,Daily,8:35 a.m.,
Hung Hom to North Point,Daily,9:05 a.m.,
Hung Hom to North Point,Daily,9:35 a.m.,
Hung Hom to North Point,Daily,10:05 a.m.,
Hung Hom to North Point,Daily,10:35 a.m.,
Hung Hom to North Point,Daily,11:05 a.m.,
Hung Hom to North Point,Daily,11:35 a.m.,
Hung Hom to North Point,Daily,12:05 p.m.,
Hung Hom to North Point,Daily,12:35 p.m.,
Hung Hom to North Point,Daily,1:05 p.m.,
Hung Hom to North Point,Daily,1:35 p.m.,
Hung Hom to North Point,Daily,2:05 p.m.,
Hung Hom to North Point,Daily,2:35 p.m.,
Hung Hom to North Point,Daily,3:05 p.m.,
Hung Hom to North Point,Daily,3:35 p.m.,
Hung Hom to North Point,Daily,4:05 p.m.,
Hung Hom to North Point,Daily,4:35 p.m.,
Hung Hom to North Point,Daily,5:05 p.m.,
Hung Hom to North Point,Daily,5:35 p.m.,
Hung Hom to North Point,Daily,6:05 p.m.,
Hung Hom to North Point,Daily,6:35 p.m.,
Hung Hom to North Point,Daily,7:05 p.m.,
Hung Hom to North Point,Daily,7:35 p.m.,
