日期時間,自動氣象站,十分鐘平均風向（方位點）,十分鐘平均風速（公里/小時）,十分鐘最高陣風風速（公里/小時）
202608310830,中環碼頭,西北,8,11
202608310830,赤鱲角,北,6,10
202608310830,長洲,北,10,16
202608310830,長洲泳灘,東北,7,12
202608310830,青洲,北,9,14
202608310830,香港航海學校,N/A,3,7
202608310830,啟德,南,2,5
202608310830,京士柏,西,6,9
202608310830,南丫島,北,10,15
202608310830,流浮山,北,2,5
202608310830,昂坪,東,12,14
202608310830,北角,西,7,10
202608310830,坪洲,N/A,12,16
202608310830,西貢,東北,10,15
202608310830,沙洲,北,8,11
202608310830,沙田,東,6,10
202608310830,石崗,北,3,6
202608310830,赤柱,北,4,8
202608310830,天星碼頭,西,8,9
202608310830,打鼓嶺,無風,無風,1,
202608310830,大美督,東北,6,10
202608310830,大埔滘,西,4,11
202608310830,塔門,西北,6,12
202608310830,大老山,N/A,0,
202608310830,將軍澳,東,8,12
202608310830,青衣,風向不定,3,6
202608310830,屯門,北,4,10
202608310830,橫瀾島,無風,無風,0,
202608310830,濕地公園,無風,無風,0,
202608310830,黃竹坑,東南,4,6
